Cues	Outcomes
=q=_=q=_word_aboutness	ness
vq=_vq=_word_achievability	ity
sh=n_sh=n_word_additionality	ity
di=_di=_word_additivity	ity
sq=_sq=_word_addressability	ity
bq=_bq=_word_adsorbability	ity
zorp_zorp_word_adsorptivity	ity
la=_la=_word_aeroelasticity	ity
fekt_fekt_word_affectlessness	ness
dq=_dq=_word_affordability	ity
fri=_fri=_word_Africanity	ity
=q=_=q=_word_againstness	ness
dzhqn_dzhqn_word_agentivity	ity
gq=_gq=_word_aggregability	ity
gre=_gre=_word_aggressivity	ity
wur=_wur=_word_airworthiness	ness
li=_li=_word_alienness	ness
dzhe=_dzhe=_word_allergenicity	ity
=i=_=i=_word_alloimmunity	ity
dzhi=_dzhi=_word_alogicality	ity
zq=_zq=_word_analysability	ity
li=_li=_word_analyticity	ity
rq=_rq=_word_answerability	ity
ri=_ri=_word_arboreality	ity
===_===_bound_arity	ity
ma=_ma=_word_aromaticity	ity
=ay=_=ay=_word_Asianness	ness
=az_=az_phrase_as-suchness	ness
li=_li=_word_Australianness	ness
vq=_vq=_word_averageness	ness
way=_way=_word_awakedness	ness
rq=_rq=_word_bearability	ity
bi=_bi=_word_beyondness	ness
byu=_byu=_word_bibulosity	ity
dq=_dq=_word_biddability	ity
ling_ling_word_bilinguality	ity
moh=_moh=_word_bimodality	ity
dq=_dq=_word_biodegradability	ity
lek_lek_word_bioelectricity	ity
dzhe=_dzhe=_word_biogenicity	ity
toh=_toh=_word_bitonality	ity
bloh=_bloh=_word_blokeishness	ness
blur=_blur=_word_blurriness	ness
boh=_boh=_word_bogusness	ness
thq=_thq=_word_breathability	ity
bul_bul_word_bulbosity	ity
ka=_ka=_word_cattiness	ness
fyoo=_fyoo=_word_centrifugality	ity
si=_si=_word_chemosensitivity	ity
klor=_klor=_word_chlorinity	ity
klahs_klahs_word_classlessness	ness
kloh=_kloh=_word_clonality	ity
bq=_bq=_word_clubbableness	ness
dq=_dq=_word_codability	ity
gq=_gq=_word_colligability	ity
kq=_kq=_word_collocability	ity
bq=_bq=_word_combativity	ity
tay=_tay=_word_commutativeness	ness
tq=_tq=_word_commutativity	ity
tq=_tq=_word_complementarity	ity
pul_pul_word_compulsiveness	ness
rqd_rqd_word_comradeliness	ness
mq=_mq=_word_confirmability	ity
lq=_lq=_word_congealability	ity
dzhungk_dzhungk_word_conjunctiveness	ness
tq=_tq=_word_connectibility	ity
mi=_mi=_word_conterminousness	ness
lq=_lq=_word_controllability	ity
kor=_kor=_word_corniness	ness
kra=_kra=_word_crackedness	ness
wur=_wur=_word_crashworthiness	ness
ku=_ku=_word_cuppiness	ness
tok_tok_word_cytotoxicity	ity
===_===_word_dabbity	ity
da=_da=_word_dashingness	ness
day=_day=_word_datedness	ness
def_def_word_deafblindness	ness
dq=_dq=_word_decidability	ity
mahn_mahn_word_demandingness	ness
rq=_rq=_word_denumerability	ity
dq=_dq=_word_dependability	ity
pre=_pre=_word_depressingness	ness
struk_struk_word_destructivity	ity
=q=_=q=_word_deviability	ity
shiq=_shiq=_word_differentiability	ity
rek_rek_word_directedness	ness
shq=_shq=_word_directionality	ity
rek_rek_word_directivity	ity
nq=_nq=_word_discriminability	ity
kur=_kur=_word_discursivity	ity
pur=_pur=_word_dispersivity	ity
tq=_tq=_word_distractability	ity
byu=_byu=_word_distributivity	ity
===_===_word_doneness	ness
doh=_doh=_word_dopiness	ness
=e=_=e=_word_double-edgedness	ness
dreem_dreem_word_dreamlessness	ness
===_===_word_driedness	ness
vq=_vq=_word_driveability	ity
shq=_shq=_word_dysfunctionality	ity
tok_tok_word_ecotoxicity	ity
nyoo=_nyoo=_word_electroneutrality	ity
fi=_fi=_word_electrophilicity	ity
nq=_nq=_word_eliminability	ity
=q=_=q=_word_employability	ity
sq=_sq=_word_enforceability	ity
rq=_rq=_word_enumerability	ity
=q=_=q=_word_enviability	ity
so=_so=_word_episodicity	ity
bq=_bq=_word_equiprobability	ity
tq=_tq=_word_equitability	ity
pee=_pee=_word_Europeanness	ness
vq=_vq=_word_evolvability	ity
seye=_seye=_word_excitingness	ness
kloo_kloo_word_exclusivity	ity
dq=_dq=_word_expandability	ity
tq=_tq=_word_exploitability	ity
pre=_pre=_word_expressivity	ity
zhq=_zhq=_word_extensionality	ity
fak_fak_word_facticity	ity
tyoo=_tyoo=_word_factualness	ness
=q=_=q=_word_falsifiability	ity
fan_fan_word_fanciness	ness
gq=_gq=_word_fatigability	ity
lek_lek_word_ferroelectricity	ity
rq=_rq=_word_filterability	ity
han_han_word_firsthandedness	ness
go=_go=_word_forgottenness	ness
fri=_fri=_word_frizziness	ness
frun_frun_word_frontality	ity
frow=_frow=_word_frowstiness	ness
frum_frum_word_frumpiness	ness
kq=_kq=_word_fuckability	ity
ga=_ga=_word_gabbiness	ness
gee=_gee=_word_geekiness	ness
gee=_gee=_word_geekishness	ness
zq=_zq=_word_generalizability	ity
rq=_rq=_word_generativity	ity
ne=_ne=_word_genericity	ity
ne=_ne=_word_genericness	ness
gow=_gow=_word_ghoulishness	ness
gloh=_gloh=_word_globality	ity
goo=_goo=_word_goofiness	ness
dq=_dq=_word_gradability	ity
dq=_dq=_word_gradeability	ity
gray=_gray=_word_graininess	ness
ti=_ti=_word_grammaticality	ity
dq=_dq=_word_grindability	ity
gu=_gu=_word_gustiness	ness
han_han_word_handedness	ness
lq=_lq=_word_handleability	ity
=qnd_=qnd_phrase_hard-and-fastness	ness
nq=_nq=_word_hardenability	ity
hee=_hee=_bound_helicity	ity
mq=_mq=_word_heteronormativity	ity
ti=_ti=_word_histocompatibility	ity
===_===_word_hurtness	ness
si=_si=_word_hypersensitivity	ity
to=_to=_word_hypotonicity	ity
ko=_ko=_word_iconicity	ity
=ak_=ak_word_immunoreactivity	ity
pe=_pe=_word_impellingness	ness
ti=_ti=_word_impracticality	ity
sen_sen_word_incendivity	ity
kloo=_kloo=_word_inclusivity	ity
kwen_kwen_word_inconsequentialness	ness
nq=_nq=_word_indefinability	ity
sq=_sq=_word_inducibility	ity
kq=_kq=_word_ineducability	ity
ii=_ii=_word_inepticality	ity
ri=_ri=_word_inferrability	ity
mq=_mq=_word_informativeness	ness
=it_=it_phrase_in-itselfness	ness
seyed_seyed_phrase_inside-outness	ness
zhq=_zhq=_word_intensionality	ity
nek_nek_word_interconnectedness	ness
lq=_lq=_word_interpolability	ity
tq=_tq=_word_interpretativeness	ness
syoo=_syoo=_word_intersexuality	ity
sq=_sq=_word_intransmissibility	ity
vay=_vay=_word_invasiveness	ness
=o=_=o=_word_ionicity	ity
shq=_shq=_word_irrotationality	ity
pq=_pq=_word_Japaneseness	ness
dzhob_dzhob_word_joblessness	ness
king_king_word_kinkiness	ness
tq=_tq=_word_kittenishness	ness
klen_klen_bound_klendusity	ity
no=_no=_word_knottedness	ness
lay=_lay=_word_laciness	ness
lay=_lay=_word_laicity	ity
nq=_nq=_word_learnability	ity
left_left_word_leftwardness	ness
leg_leg_word_leglessness	ness
kyoo=_kyoo=_word_lenticularity	ity
mi=_mi=_word_liminality	ity
leye=_leye=_word_liminess	ness
ling_ling_word_linkedness	ness
dq=_dq=_word_loadability	ity
zq=_zq=_word_localizability	ity
lo=_lo=_word_logginess	ness
lo=_lo=_word_loppiness	ness
lur=_lur=_word_lurkingness	ness
nq=_nq=_word_machinability	ity
tq=_tq=_word_macrocrystallinity	ity
nq=_nq=_word_maintainability	ity
morl_morl_word_maltiness	ness
lq=_lq=_word_manipulability	ity
rq=_rq=_word_manoeuvrability	ity
rq=_rq=_word_manufacturability	ity
pq=_pq=_word_mappability	ity
dzhi=_dzhi=_word_marginality	ity
ma=_ma=_word_massivity	ity
mas_mas_word_masslessness	ness
may=_may=_word_mateyness	ness
lq=_lq=_word_matriculability	ity
loh=_loh=_word_matrilocality	ity
si=_si=_word_maximality	ity
ning_ning_word_meaningfulness	ness
si=_si=_word_mechanosensitivity	ity
===_===_word_meness	ness
tq=_tq=_word_metamictness	ness
fo=_fo=_word_metaphoricity	ity
zi=_zi=_word_metaphysicality	ity
stay=_stay=_word_metastability	ity
kyoo=_kyoo=_word_meticulousness	ness
zq=_zq=_word_metrizability	ity
stq=_stq=_word_microcrystallinity	ity
por=_por=_word_microporosity	ity
seyez_seyez_word_microseismicity	ity
toh=_toh=_word_microtonality	ity
thq=_thq=_phrase_middle-of-the-roadness	ness
===_===_word_mineness	ness
ni=_ni=_word_minimality	ity
ni=_ni=_word_minimalness	ness
mi=_mi=_word_mininess	ness
min_min_word_mintiness	ness
rek_rek_word_misdirectedness	ness
dzhe=_dzhe=_word_mitogenicity	ity
sq=_sq=_word_mixability	ity
mikst_mikst_word_mixed-upness	ness
mo=_mo=_word_mobbishness	ness
zq=_zq=_word_mobilizability	ity
dyoo=_dyoo=_word_modularity	ity
moh=_moh=_word_molality	ity
moh=_moh=_word_molarity	ity
tay=_tay=_word_momentaneity	ity
mu=_mu=_word_moneyness	ness
ma=_ma=_word_monochromaticity	ity
kloh=_kloh=_word_monoclonality	ity
dzhee=_dzhee=_word_monogeneity	ity
dzhe=_dzhe=_word_monogenicity	ity
fay=_fay=_word_monophasicity	ity
shoo=_shoo=_word_monosexuality	ity
si=_si=_word_monospecificity	ity
la=_la=_word_monosyllabicity	ity
toh=_toh=_word_monotonality	ity
tq=_tq=_word_monotoneity	ity
to=_to=_word_monotonicity	ity
zeye=_zeye=_word_monozygosity	ity
===_===_word_mootness	ness
moh=_moh=_word_mopiness	ness
ku=_ku=_word_multicolouredness|multicoloredness	ness
shq=_shq=_word_multidimensionality	ity
sh=n_sh=n_word_multifunctionality	ity
lay=_lay=_word_multilayeredness	ness
ni=_ni=_word_multilineality	ity
loh=_loh=_word_multilocality	ity
kyoo=_kyoo=_word_multilocularity	ity
moh=_moh=_word_multimodality	ity
ti=_ti=_word_multiplexity	ity
poh=_poh=_word_multipolarity	ity
ten_ten_word_multipotentiality	ity
mq=_mq=_word_multiprogrammability	ity
seye=_seye=_word_multisidedness	ness
stq=_stq=_word_multistability	ity
voh=_voh=_word_multivocality	ity
mum_mum_word_mumchanceness	ness
tshahn_tshahn_word_mumchanciness	ness
mum_mum_word_mumsiness	ness
mq=_mq=_word_murmurousness	ness
muez_muez_word_Muslimness	ness
dzhee=_dzhee=_word_mutagenicity	ity
tok_tok_word_mycotoxicity	ity
tok_tok_word_myelinotoxicity	ity
lek_lek_word_myoelectricity	ity
kri=_kri=_word_nacreosity	ity
===_===_word_naffness	ness
na=_na=_word_nanniness	ness
na=_na=_word_nappiness	ness
rq=_rq=_word_narrativity	ity
dzhq=_dzhq=_word_negligibility	ity
nee=_nee=_word_Negroness	ness
moh=_moh=_word_neomodality	ity
tok_tok_word_nephrotoxicity	ity
nur=_nur=_word_nerdiness	ness
nur=_nur=_word_nerdishness	ness
tok_tok_word_neurotoxicity	ity
la=_la=_word_newladdishness	ness
neye=_neye=_word_nidality	ity
ni=_ni=_word_nippiness	ness
wi=_wi=_word_nitwittedness	ness
no=_no=_word_nobbiness	ness
tur=_tur=_word_nocturnality	ity
dyoo=_dyoo=_word_nodularity	ity
dap_dap_word_nonadaptiveness	ness
di=_di=_word_nonadditivity	ity
bi=_bi=_word_nonambiguity	ity
sen_sen_word_non-centrality	ity
tq=_tq=_word_noncommutativity	ity
=emp_=emp_word_non-emptiness	ness
mq=_mq=_word_nonflammability	ity
=eye=_=eye=_word_nonideality	ity
ni=_ni=_word_nonlinearity	ity
loh=_loh=_word_nonlocality	ity
nor=_nor=_word_nonnormality	ity
vi=_vi=_word_nonobviousness	ness
tq=_tq=_word_nonorientability	ity
=dzhe_=dzhe_word_non-pathogenicity	ity
play=_play=_word_nonplanarity	ity
yoo=_yoo=_word_non-uniqueness	ness
noo=_noo=_word_noodleness	ness
nor=_nor=_word_nordicity	ity
mq=_mq=_word_normativeness	ness
mq=_mq=_word_normativity	ity
norm_norm_word_normlessness	ness
===_===_word_norseness	ness
noh=_noh=_word_nosiness	ness
no=_no=_word_notchiness	ness
===_===_word_notness	ness
not_not_phrase_notthereness	ness
now=_now=_word_nouniness	ness
===_===_word_nounness	ness
kli=_kli=_word_nuclearity	ity
fi=_fi=_word_nucleophilicity	ity
===_===_word_nullness	ness
mi=_mi=_word_numinosity	ity
mi=_mi=_word_numinousness	ness
=ob_=ob_word_objectness	ness
vi=_vi=_word_obliviality	ity
nok_nok_word_obnoxity	ity
shq=_shq=_word_observationality	ity
sh=n_sh=n_word_obsessionality	ity
se=_se=_word_obsessiveness	ness
nq=_nq=_word_obtainability	ity
=a=_=a=_word_oceanicity	ity
=oh=_=oh=_word_OKness	ness
mq=_mq=_word_oldwomanishness	ness
wurld_wurld_word_oldworldliness	ness
si=_si=_word_omissibility	ity
sh=n_sh=n_word_omnidirectionality	ity
shoo=_shoo=_word_omnisexuality	ity
dzhe=_dzhe=_word_oncogenicity	ity
thq=_thq=_phrase_onthemakeness	ness
=en_=en_word_openendedness	ness
teks_teks_word_opentexturedness	ness
rq=_rq=_word_operability	ity
shq=_shq=_word_operationality	ity
sh=n_sh=n_word_oppositionality	ity
ti=_ti=_word_opticality	ity
ti=_ti=_word_optimality	ity
=or=_=or=_word_orgonity	ity
tq=_tq=_word_orientability	ity
rq=_rq=_word_orotundity	ity
skyoo=_skyoo=_word_oscularity	ity
moh=_moh=_word_osmolality	ity
moh=_moh=_word_osmolarity	ity
gyew=_gyew=_word_ostrobogulosity	ity
thq=_thq=_word_otherliness	ness
tqv_tqv_phrase_outofdateness	ness
dq=_dq=_word_outsiderishness	ness
dq=_dq=_word_outsiderliness	ness
seye=_seye=_word_outsiderness	ness
bue=_bue=_word_overbullishness	ness
krow=_krow=_word_overcrowdedness	ness
dre=_dre=_word_overdressiness	ness
tek_tek_word_overprotectiveness	ness
si=_si=_word_oversensitivity	ity
vq=_vq=_word_oversexedness	ness
vqr_vqr_word_overwroughtness	ness
kq=_kq=_word_packability	ity
stay=_stay=_word_painstakingness	ness
tq=_tq=_word_paintabilty	ity
tq=_tq=_word_painterliness	ness
pa=_pa=_word_palliness	ness
zq=_zq=_word_paraphrasability	ity
foh=_foh=_word_parfocality	ity
===_===_word_partness	ness
pah=_pah=_word_partyness	ness
zq=_zq=_word_passivizability	ity
tri=_tri=_word_patriality	ity
ni=_ni=_word_patrilineality	ity
loh=_loh=_word_patrilocality	ity
pee=_pee=_word_peakiness	ness
===_===_word_peaness	ness
pe=_pe=_bound_pedality	ity
===_===_word_pegity	ity
tq=_tq=_bound_pelletability	ity
ray=_ray=_word_penecontemporaneity	ity
nq=_nq=_word_pensionability	ity
pe=_pe=_word_peppiness	ness
zq=_zq=_word_peptizability	ity
kq=_kq=_word_peralkalinity	ity
mq=_mq=_word_performability	ity
mq=_mq=_word_performativity	ity
fq=_fq=_word_peripherality	ity
ki=_ki=_word_persnicketiness	ness
spek_spek_word_perspectivity	ity
sen_sen_word_phallocentricity	ity
nee=_nee=_word_phonemicity	ity
foh=_foh=_word_phoniness	ness
sen_sen_word_phonocentricity	ity
=ak_=ak_word_photoactivity	ity
gq=_gq=_word_photonegativity	ity
=o=_=o=_word_photoperiodicity	ity
zi=_zi=_word_photopositivity	ity
sq=_sq=_word_photoreversibility	ity
tok_tok_word_phototoxicity	ity
dzhe=_dzhe=_word_phytopathogenicity	ity
kq=_kq=_word_picayunity	ity
tq=_tq=_word_pivotability	ity
plu=_plu=_word_plumminess	ness
ten_ten_word_pluripotentiality	ity
===_===_word_plushness	ness
tq=_tq=_word_pocketability	ity
poh=_poh=_word_Polishness	ness
sen_sen_word_polycentricity	ity
kloh=_kloh=_word_polyclonality	ity
di=_di=_word_polydispersity	ity
shq=_shq=_word_polyfunctionality	ity
mor=_mor=_word_polymorphousness	ness
ni=_ni=_word_polyonymosity	ity
tee=_tee=_word_polysystemicity	ity
toh=_toh=_word_polytonality	ity
===_===_word_poshness	ness
shq=_shq=_word_positionality	ity
ni=_ni=_word_post-coloniality	ity
mq=_mq=_word_postmaturity	ity
mo=_mo=_word_postmodernity	ity
po=_po=_word_pottiness	ness
kon_kon_word_preconsciousness	ness
kq=_kq=_word_predicativity	ity
shqns_shqns_word_presciencelessness	ness
skrip_skrip_word_prescriptivity	ity
zen_zen_word_presentedness	ness
=ak_=ak_word_proactivity	ity
sep_sep_word_proceptivity	ity
sq=_sq=_word_processability	ity
dzhe=_dzhe=_word_pyrogenicity	ity
pi=_pi=_word_quadrupedality	ity
kwee=_kwee=_word_queeringness	ness
ki=_ki=_word_racketiness	ness
=ak_=ak_word_radioactivity	ity
mi=_mi=_word_radioluminosity	ity
di=_di=_bound_radiosity	ity
===_===_word_radness	ness
do=_do=_bound_randomicity	ity
dzhq=_dzhq=_word_rangeability	ity
tshq=_tshq=_word_reachability	ity
nq=_nq=_word_reactionariness	ness
riq=_riq=_word_rearwardness	ness
se=_se=_word_recessivity	ity
kur=_kur=_word_recursiveness	ness
kur=_kur=_word_recursivity	ity
dzhq=_dzhq=_word_regionality	ity
sq=_sq=_word_reimbursability	ity
tq=_tq=_word_relatability	ity
rq=_rq=_word_repairableness	ness
tq=_tq=_word_repeatability	ity
tq=_tq=_word_reportability	ity
tq=_tq=_word_representativity	ity
wor=_wor=_word_rewardingness	ness
ree=_ree=_word_rheidity	ity
to=_to=_word_rhetoricity	ity
ri=_ri=_word_rippingness	ness
rohm_rohm_word_romewardness	ness
root_root_word_rootsiness	ness
===_===_word_roseness	ness
===_===_word_rousedness	ness
bq=_bq=_word_rubberiness	ness
bown_bown_word_ruleboundedness	ness
nq=_nq=_word_runnability	ity
ru=_ru=_word_russianness	ness
say=_say=_word_sacrality	ity
sq=_sq=_word_saprobity	ity
tq=_tq=_word_saturninity	ity
ska=_ska=_word_scattiness	ness
ti=_ti=_word_scientificity	ity
tshq=_tshq=_word_searchability	ity
zq=_zq=_word_seasonality	ity
han_han_word_second-handedness	ness
seyez_seyez_word_seismicity	ity
lek_lek_word_selectivity	ity
sek_sek_word_sexiness	ness
mq=_mq=_word_shimmeriness	ness
kq=_kq=_word_shockability	ity
slu=_slu=_word_slushiness	ness
sneye=_sneye=_word_snipiness	ness
snoo=_snoo=_word_snootiness	ness
song_song_word_songlessness	ness
shi=_shi=_word_speciosity	ity
thrif_thrif_word_spendthriftiness	ness
spla=_spla=_word_splashiness	ness
fe=_fe=_word_splendiferousness	ness
tq=_tq=_word_startability	ity
nq=_nq=_word_stationarity	ity
sti=_sti=_word_stickiness	ness
tshq=_tshq=_word_stretchability	ity
stre=_stre=_word_stretchiness	ness
streye=_streye=_word_stripiness	ness
struk_struk_word_structuredness	ness
===_===_word_stuckness	ness
di=_di=_word_subadditivity	ity
diq=_diq=_word_subsidiarity	ity
tyoo=_tyoo=_word_substitutivity	ity
seye=_seye=_word_suicidality	ity
mq=_mq=_word_summability	ity
duk_duk_word_superconductivity	ity
ti=_ti=_word_supercriticality	ity
floo=_floo=_word_superfluidity	ity
man_man_word_supermanliness	ness
tq=_tq=_word_supplementarity	ity
swang_swang_word_swankiness	ness
swoh=_swoh=_word_swollenness	ness
la=_la=_word_syllabicity	ity
krq=_krq=_word_synchroneity	ity
kro=_kro=_word_synchronicity	ity
ma=_ma=_word_systematicity	ity
ta=_ta=_word_tackiness	ness
tak_tak_word_tacticity	ity
tek_tek_word_technicity	ity
stri=_stri=_word_terrestriality	ity
feye=_feye=_word_terrifyingness	ness
stq=_stq=_word_testability	ity
kq=_kq=_word_trackability	ity
nq=_nq=_word_trainability	ity
mi=_mi=_word_transmissivitiy	ity
tq=_tq=_word_treatability	ity
tree=_tree=_word_treeiness	ness
tren_tren_word_trendiness	ness
pi=_pi=_word_tropicality	ity
nq=_nq=_word_tunability	ity
pi=_pi=_bound_typicity	ity
yoo=_yoo=_bound_ubicity	ity
bi=_bi=_word_unbusiness	ness
vq=_vq=_word_univocality	ity
tshq=_tshq=_word_untouchability	ity
pq=_pq=_phrase_upperclassness	ness
roo=_roo=_word_uprootedness	ness
se=_se=_word_upsettingness	ness
===_===_word_usness	ness
ri=_ri=_bound_veridicity	ity
kyoo=_kyoo=_word_vesicularity	ity
wor=_wor=_word_warlessness	ness
tq=_tq=_word_waterproofness	ness
rq=_rq=_word_wearability	ity
===_===_word_weness	ness
===_===_word_whenceness	ness
===_===_word_whoness	ness
nq=_nq=_word_winnability	ity
with_with_word_withdrawnness	ness
===_===_word_withness	ness
king_king_phrase_workingclassness	ness
zeye=_zeye=_bound_zygosity	ity
